รายวิชาเพิ่มเติม ม.1  2/2568,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พุธ,,พฤหัสบดี,
,,,,,,,,,7,8,1,2,7,8,5,6
"กลุ่มสาระการการเรียนรู้วิทยาศาสตร์
และเทคโนโลยี",,,,,,,,,,,,,,,,
ว21214,วิทยาศาสตร์คิดสร้างสรรค์,1,2,"วิเคราะห์สถานการณ์ต่าง ๆ ระบุแนวทาง วางแผน ออกแบบและลงมือสร้างชิ้นงานเพื่อแก้ไขปัญหาโดยการสืบค้นและรวบรวมข้อมูลที่จะนําไปใช้แก้ปัญหาบูรณาการความรู้
ทางวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์และคณิตศาสตร์ สามารถสื่อสารสิ่งที่เรียนรู้ มีความสามารถในการตัดสินใจ 
คิดสร้างสรรค์และนําความรู้ไปใช้ในการแก้ปัญหาในชีวิตจริงได้",อ.จารุภา,1,25,,,,,,✔,✔,,
ว20238,ทักษะปฏิบัติการดาราศาสตร์,1,2,"ศึกษาและฝึกฝนทักษะการใช้แผนที่ท้องฟ้าและโปรแกรมท้องฟ้าจำลองเพื่อระบุตำแหน่งดาวฤกษ์ และวัตถุท้องฟ้า
ห้วงลึก ใช้งานกล้องโทรทรรศน์เพื่อค้นหาและระบุตำแหน่ง
บนท้องฟ้าในระบบพิกัดขอบฟ้าและระบบพิกัดศูนย์สูตรฟ้า อธิบายผลของการหมุนรอบตัวเองของโลกที่มีผลต่อการเปลี่ยนตำแหน่งของวัตถุท้องฟ้า ทดลองเพื่ออธิบายหลักการทำงานของกล้องโทรทรรศน์ชนิดหักเหแสงและสะท้อนแสง",อ. วิทยา,1,20,"เฉพาะนักเรียนในโครงการ
ที่ผ่าน
การคัดเลือก",,,✔,✔,,,,
,,,,,อ.วิทยา,2,20,,,,,,✔,✔,,
,,,,,อ.ปิยาภรณ์,3,20,,✔,✔,,,,,,
ว21213,ห้องเรียนสีเขียว,1,2,"สำรวจพฤติกรรมการใช้ทรัพยากรธรรมชาติของตนเอง 
เพื่อสร้างมโนทัศน์เกี่ยวกับพฤติกรรมที่รับผิดชอบต่อ
สิ่งแวดล้อมและการลดการใช้ทรัพยากร คำนวณรอยเท้านิเวศ วิเคราะห์ปัจจัยที่ส่งผลต่อเสถียรภาพของระบบนิเวศ 
สำรวจสภาพทรัพยากรในชุมชน ผลกระทบต่อสิ่งมีชีวิตและระบบนิเวศ ประเมินการจัดการปัญหาเพื่อหาแนวทางการปรับปรุงพัฒนา รวมทั้งสร้างสรรค์โครงงานเพื่อสิ่งแวดล้อม",อ.ดร.พิธุลาวัณย์,1,35,,✔,✔,,,,,,
,,,,,อ.ดร.พิธุลาวัณย์,2,35,,,,,,,,✔,✔
ว20240,ใคร ๆ ก็เขียนโคดได้ 2,1,2,ฝึกฝนทักษะด้านการพัฒนาแอปพลิเคชัน iOS ขั้นพื้นฐานด้วย Swift ผ่านการฝึกฝนแนวคิดสําคัญและหลักปฏิบัติ ที่นักเขียนโปรแกรมภาษา Swift ใช้ในแต่ละวันจนเชี่ยวชาญ รวมทั้งสร้างความชํานาญพื้นฐานใน Source ของการใช้งาน โปรแกรม Xcode ควบคู่กับการใช้งาน UI Element ต่าง ๆ โดยเนื้อหาอ้างอิงจากหนังสือ พัฒนาใน Swift เล่มความรู้พื้นฐาน,"อ.ศุภชัย /
อ.ธนวัฒน์",1,8,นักเรียนต้องเคยลงทะเบียนเรียนรายวิชา ใคร ๆ ก็เขียนโคดได้ 1,,,,,,,✔,✔
ว21255,CUD-EP เคมีสิ่งแวดล้อม 2,1,2,"This chemistry elective course connects environmental science with real-world chemistry to study the health of freshwater ecosystems. Students explore how pollutants, such as nitrates, phosphates, and sediments, enter streams through human activities like farming and urban development. They use simulations, and problem-solving tasks to assess stream health through chemical tests for pH, dissolved oxygen, and temperature. ",T.Bakang ,1,15,เฉพาะนักเรียนโครงการ EP,,,,,,,✔,✔
กลุ่มสาระการการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,
ค21234,คณิตศาสตร์เพิ่มเติม 2,0.5,1,ทักษะกระบวนการทางคณิตศาสตร์ แทนแกรม แบบจำลอง ข่ายงาน การให้เหตุผลแบบอุปนัยและแบบนิรนัย,อ.ดร.กุลนิดา,1,35,"ไม่รับนักเรียนโครงการ EP 

เนื่องจากเนื้อหาคล้ายคลึงกับรายวิชา
พื้นฐาน",,✔,,,,,,
,,,,,"อ.ดร.กรวรรณ / 
อ.ดร.ภัทรภร",2,35,,,,✔,,,,,
,,,,,อ.ดร.กุลนิดา,3,35,,,,,✔,,,,
,,,,,อ.ดร.กุลนิดา,4,35,,,,,,✔,,,
ค21237,คณิตศาสตร์ในชีวิตประจำวัน,1,2,"ศึกษาการนำความรู้พื้นฐานทางคณิตศาสตร์ไปประยุกต์ใช้
ในชีวิตประจำวัน เช่น การบริหารเวลา การบริหารการเงิน ความคุ้มค่าในการซื้อของ การวางแผนยุทธศาสตร์ในการแข่งขันเกมหรือกีฬา การนำเทคโนโลยีมาประยุกต์ใช้
ในการเรียนคณิตศาสตร์ และสามารถสร้างสรรค์ผลงานและ
นำเสนอผลงานได้อย่างมีคุณภาพ ",อ.ดร.พรทิพย์,1,20,,,,,,,,✔,✔
ค20203,Excel เบื้องต้นสำหรับเยาวรุ่น,1,2,"การใช้งานโปรแกรม Microsoft Excel ระดับขั้นพื้นฐานสำหรับการเรียนในระดับมัธยมศึกษาตอนต้น ฝึกการจัดการข้อมูล
เบื้องต้น การสร้างและการจัดรูปแบบตาราง การกำหนด
รูปแบบตัวเลขและข้อความ การคำนวณทางคณิตศาสตร์
โดยใช้ฟังก์ชันพื้นฐาน และการนำเสนอข้อมูลด้วยกราฟ",อ.มานพ,1,25,,,,,,✔,✔,,
ค21236,คณิตศาสตร์ขั้นสูงสู่โอลิมปิก 2,1,2,"ฝึกทักษะการใช้ความคิดสร้างสรรค์อย่างชาญฉลาด การสร้างแบบรูป ความสัมพันธ์และแบบจำลองทางคณิตศาสตร์ 
และการให้เหตุผล อันเป็นทักษะพื้นฐานสำคัญสำหรับ
การแก้ปัญหาคณิตศาสตร์ระดับโอลิมปิก",อ.จีรพัฒน์,1,10,"เฉพาะนักเรียนในโครงการ
ที่ผ่าน
การคัดเลือก",,,,,,,✔,✔
ค21257,CUD-EP อัจฉริยะคณิตคิดไว,1,2,"IQ Math course is designed for highly motivated and mathematically gifted students who have a strong foundation in elementary math concepts and are ready for advanced problem-solving and critical thinking. The curriculum goes beyond standard Grade 7 math, delving deeper into complex concepts and introducing foundational ideas often seen in higher-level mathematics. ",T.Ming,1,30,"เรียนเป็น
ภาษาอังกฤษ",,,✔,✔,,,,
กลุ่มสาระการการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,
ท21215,เขียนไทยให้สนุก,1,2,"ฝึกทักษะการเรียนสะกดคำที่ใช้ในภาษาไทยให้ถูกต้อง เช่น 
คำที่พบทั่วไปในชีวิตประจำวัน คำที่ใช้สระใอและสระไอ 
ตัวการันต์ คำพ้อง คำยืมจากภาษาต่างประเทศ คำที่ใช้ในแวดวงวิชาการสาขาต่าง ๆ เป็นต้น ผ่านการทำกิจกรรม
ในชั้นเรียนหลากหลายรูปแบบ เพื่อเป็นฐานของการเขียน
ในประเภทต่าง ๆ ต่อไป",อ.นาวินี,1,35,,,,✔,✔,,,,
ท21212,การละเล่นทางภาษา ,1,2,"ศึกษารูปแบบ ที่มา โครงสร้างภาษา หลักการใช้ภาษา
ของการละเล่นทางภาษาที่ใช้ภาษาเป็นเครื่องมือใน
การถ่ายทอด วิเคราะห์คุณค่าทางภาษา ความงามทางวรรณศิลป์ เช่น การเล่นเสียง การเล่นคำผวน การเล่นปริศนาคำทาย เป็นต้น",อ.สุวิตรา,1,35,,,,,,✔,✔,,
ท21216,"นิทานพื้นบ้านและตำนาน
ของไทย",1,2,"ศึกษาและวิเคราะห์ประเภท ลักษณะ เนื้อหา และคุณค่านิทานพื้นบ้านตำนานของไทยซึ่งเป็นมรดกทางวัฒนธรรมอันทรงคุณค่า เพื่อเสริมสร้างความรู้ความเข้าใจ ฝึกฝนทักษะการอ่าน การวิเคราะห์ ตีความ ตลอดจนนำคุณค่าที่ได้ไปปรับใช้ในชีวิต โดยใช้กระบวนการจัดการเรียนรู้ผ่านการบรรยาย อภิปราย ฝึกฝนการอ่านและวิเคราะห์ การนำเสนอ ทัศนศึกษา 
และการศึกษาค้นคว้าด้วยตนเอง",อ.อนุรักษ์,1,35,,,,,,✔,✔,,
"กลุ่มสาระการการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,
ส21231,มนุษย์สัมพันธ์,1,2,"ศึกษาความสัมพันธ์ของมนุษย์ในสังคม ความสำคัญของสังคม
ที่มีต่อชีวิตมนุษย์ เพื่อสร้างความสัมพันธ์ของมนุษย์ทั้งในชีวิตส่วนตัวและการเรียน เทคนิคการสร้างความสัมพันธ์ ปัจจัยที่มีอิทธิพลต่อการสร้างความสัมพันธ์ เพื่อนำไปสู่การสร้าง
ปฎิสัมพันธ์เชิงบวก",อ.บุญฤทธิ์,1,35,,,,,,✔,✔,,
ส21233,อลหม่านการกิน,1,2,"ศึกษาเกี่ยวกับแหล่งที่มาของอาหารในชีวิตประจำวัน กระบวนการผลิตและอุตสาหกรรมอาหาร ความแตกต่างระหว่างอาหารขยะและขยะอาหาร ความสัมพันธ์และ
ผลกระทบระหว่างการบริโภคอาหาร และความเสื่อมโทรมของสภาพแวดล้อม แนวคิดการอนุรักษ์สิ่งแวดล้อมและการบริโภคอย่างยั่งยืน พฤติกรรมการบริโภคอาหารที่ชาญฉลาดและเป็นมิตรต่อสิ่งแวดล้อม และสิทธิผู้บริโภคที่รู้เท่าทันผู้ประกอบการ",อ.พงษ์ภัค,1,35,,,,,,,,✔,✔
ส21236,นักข่าวน้อย,1,2,"ศึกษาทักษะการแสวงหาข่าวสารในชีวิตประจำวัน 
การใช้ข่าวสารให้เป็นประโยชน์",อ.บุญฤทธิ์,1,35,,,,,,,,✔,✔
กลุ่มสาระการการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,
ง21267,รัก(ษ์)ไทย1,1,2,"ศึกษางานประดิษฐ์แบบไทย โดยให้ผู้เรียนฝึกปฏิบัติ
งานประดิษฐ์แบบไทย ๆ เช่น การทำเครื่องแขวน 
""ตาข่ายหน้าช้าง"" เป็นต้น",อ.รัชดาวัลย์,1,20,,,,✔,✔,,,,
ง21268,เข้าครัวตัวจิ๋ว,1,2,ศึกษาเรียนรู้การเลือกวัตถุดิบ วัสดุอุปกรณ์ การชั่งตวงส่วนผสม บรรจุภัณฑ์ในการทำเบเกอรี่ประเภทคุกกี้  ฝึกปฏิบัติคุกกี้ประเภทต่าง ๆ,อ.ศิรดา,1,20,,,,,,✔,✔,,
ง20261,โครเชต์เบื้องต้น,1,2,"ศึกษาประวัติโดยย่อของการถักโครเชต์ เรียนรู้เกี่ยวกับวัสดุอุปกรณ์และไหมพรมที่นำมาใช้  ขั้นตอนการถักชิ้นงาน 
การจับเข็ม  ฝึกถักชิ้นงานโครเชต์ในรูปแบบต่างๆ",อ.ศิรดา,1,20,,✔,✔,,,,,,
ง20273,DIY งานช่างอย่างง่าย,1,2,ฝึกฝนทักษะปฏิบัติผ่านกระบวนการคิดเชิงออกแบบและเชิงวิศวกรรม กระบวนการทำงานอย่างมีหลักการและปลอดภัยที่จะนำไปสู่พัฒนาโครงงานและนวัตกรรมต่าง ๆ ที่ผสมผสานความคิดสร้างสรรค์และการคิดเชิงธุรกิจ เพื่อคิดและพัฒนาสิ่งใหม่ ๆ อย่างมีระบบ ฝึกทักษะการใช้เครื่องมือช่าง การสร้างชิ้นงานต้นแบบด้วยวัสดุ ไม้ ปูน ท่อประปา และพลาสติก,ผศ.ดร.นาถวดี,1,20,,✔,✔,,,,,,
กลุ่มสาระการการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,
ศ21245,วาดเส้นพื้นฐาน,1,2,"ศึกษาและปฏิบัติการวาดเส้นพื้นฐาน ตามแนวทางที่ถนัดของ
ผู้เรียนโดยกระบวนการร่างภาพ ขึ้นรูปและโครงสร้างวัสดุและจัดสัดส่วนภาพ โดยใช้ดินสอดำในการลงน้ำหนัก การสร้างสรรค์ปรับปรุงงาน รวมถึงวิธีการประยุกต์ใช้และพัฒนาผลงาน",ผศ.พัชริน,1,20,,,,,,,,✔,✔
ศ21247,การปฏิบัติดนตรีในวัฒนธรรม,1,2,"ศึกษาการปฏิบัติทักษะการบรรเลงดนตรีไทย กลุ่มเครื่องตี 
รูปแบบวงปี่พาทย์ บทเพลงที่สะท้อน เอกลักษณ์ของวัฒนธรรมในภูมิภาคของประเทศไทย ได้แก่ ภาคเหนือ ใต้ กลางและตะวันออกเฉียงเหนือ เข้าใจรูปแบบทำนองเพลง ผ่านการเรียนรู้แบบสาธิต การลงมือปฏิบัติ การร่วมมือเป็นกลุ่ม และเดี่ยว 
เพื่อพัฒนาทักษะการบรรเลงดนตรีไทยแบบรวมวงและวิเคราะห์ความแตกต่างของบทเพลงวัฒนธรรมในแต่ละภูมิภาค",อ.ภูวิศ,1,20,,,,,,,,✔,✔
ศ20202,ปฏิบัติการวงโยธวาทิต ม.ต้น 2,1,2,"การปฏิบัติเครื่องดนตรีที่ใช้ในวงโยธวาทิต ประวัติของ
เครื่องดนตรี การจำแนกประเภท และ การบรรเลงเบื้องต้น 
เพื่อให้ผู้เรียนสามารถอ่านโน้ตและปฏิบัติเครื่องดนตรีได้จริง",อ.สุปัฏฐ์,1,10,"เฉพาะนักเรียนวงโยธวาทิต
ที่ผ่าน
การคัดเลือก",,,,,,,✔,✔
ศ20212,ปฏิบัติการวงโยธวาทิต ม.ต้น 4,,,,อ.สุปัฏฐ์,1,10,,,,,,,,✔,✔
ศ20214,ปฏิบัติการวงโยธวาทิต ม.ต้น 6,,,,อ.สุปัฏฐ์,1,10,,,,,,,,✔,✔
ศ20220,ศิลป์สร้างสรรค์ผ่านสีอะคริลิค,1,2,"การสร้างสรรค์งานทัศนศิลป์ด้วยเทคนิคสีอะคริลิค เรียนรู้
คุณสมบัติและวิธีการใช้สื่อสีอะคริลิคอย่างมีประสิทธิภาพ พร้อมทั้งเรียนรู้แนวคิดและแรงบันดาลใจจากผลงานศิลปะต้นแบบเพื่อนำมาวิเคราะห์และพัฒนาสู่ผลงานของตนเอง",อ.วนาลี,1,7,"มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท",,,,,,,✔,✔
