รายวิชาเพิ่มเติม ม.2  2/2568,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,อังคาร,,พุธ,,พฤหัสบดี,,ศุกร์,
,,,,,,,,,5,6,1,2,5,6,7,8
"กลุ่มสาระการการเรียนรู้วิทยาศาสตร์
และเทคโนโลยี",,,,,,,,,,,,,,,,
ว20236,ฟิสิกส์กลศาสตร์สำหรับดาราศาสตร์ 2,1,2,"ศึกษาฟิสิกส์ที่เป็นพื้นฐานสำคัญสำหรับการเข้ารับการอบรมโอลิมปิกดาราศาสตร์ ค่าย 2 เช่น แรงและการเคลื่อนที่ งาน
และพลังงาน โมเมนตัมเชิงเส้น โมเมนตัมเชิงมุม ของไหลและ
ความร้อนและนำไปประยุกต์ใช้ในการแก้โจทย์ปัญหาทางดาราศาสตร์ในการแข่งขันระดับชาติ",อ.วิทยา,1,30,"เฉพาะนักเรียนในโครงการ
ที่ผ่าน
การคัดเลือก",,,✔,✔,,,,
,,,,,อ.ปิยาภรณ์,2,30,,✔,✔,,,,,,
ว20222,สนุกคิด STEM นอกห้องเรียน,1,2,"พัฒนาความคิดสร้างสรรค์ในการแก้ปัญหาที่เกี่ยวข้องกับวิทยาศาสตร์ เทคโนโลยี และคณิตศาสตร์ ผ่านกิจกรรม
การทดลองแสนสนุกนอกห้องเรียน เช่น กิจกรรมนาฬิกาแสงแดด แผนที่พฤษศาสตร์โรงเรียน สีจากพืชรอบโรงเรียน ฝายชะลอน้ำ เป็นต้น ซึ่งเป็นพื้นฐานสำคัญในการศึกษาต่อในด้านวิทยาศาสตร์ต่อไป","อ.จักรกฤต / 
อ.ดร.ณัฐธยาน์ ",1,35,,,,,,✔,✔,,
ว20240,ใคร ๆ ก็เขียนโคดได้ 2,1,2,ฝึกฝนทักษะด้านการพัฒนาแอปพลิเคชัน iOS ขั้นพื้นฐานด้วย Swift ผ่านการฝึกฝนแนวคิดสําคัญและหลักปฏิบัติ ที่นักเขียนโปรแกรมภาษา Swift ใช้ในแต่ละวันจนเชี่ยวชาญ รวมทั้งสร้างความชํานาญพื้นฐานใน Source ของการใช้งาน โปรแกรม Xcode ควบคู่กับการใช้งาน UI Element ต่าง ๆ โดยเนื้อหาอ้างอิงจากหนังสือ พัฒนาใน Swift เล่มความรู้พื้นฐาน,"อ.ศุภชัย / 
อ.ธนวัฒน์",1,8,นักเรียนต้องเคยลงทะเบียนเรียนรายวิชา ใคร ๆ ก็เขียนโคดได้ 1,,,,,✔,✔,,
ว20278,เปิดโลกปัญญาประดิษฐ์และคลาวด์คอมพิวติ้ง,1,2,สำรวจโลกของปัญญาประดิษฐ์ (AI) ตั้งแต่พื้นฐาน แนวคิด และการพัฒนาในปัจจุบัน พร้อมทำความรู้จักกับ AI ในชีวิตประจำวัน ผลงานสร้างสรรค์และทดลองใช้งาน AI เบื้องต้น เช่น Machine Learning และ Generative AI รวมถึงเรียนรู้การทำงานพื้นฐานของคลาวด์คอมพิวติ้ง เทคโนโลยีที่ขับเคลื่อน AI และบริการออนไลน์ต่าง ๆ  เพื่อเข้าใจขั้นพื้นฐานและต่อยอดการเรียนรู้ที่สำคัญในยุคดิจิทัลอย่างสร้างสรรค์และมีจริยธรรม,อ.ศิริชัย,1,18,,✔,✔,,,,,,
ว20270,การออกแบบและผลิตโมเดลสามมิติ,1,2,เรียนรู้พื้นฐานโมเดลสามมิติแบบต่าง ๆ วิธีการผลิตจากโมเดลสามมิติ ข้อดีข้อเสียของโปรแกรมสามมิติต่าง ๆ การติดตั้งและใช้งานโปรแกรม Autodesk Fusion 360 เทคนิคการออกแบบเพื่อการพิมพ์สามมิติ และการขึ้นรูปโดย CNC machine,อ.สมโรจน์,1,17,,,,,,,,✔,✔
ว22250,CUD-EP ปัญญาประดิษฐ์ 2,1,2,"This course is a continuation of Artificial Intelligence I, focusing on advanced AI concepts through hands-on projects. Students will explore Generative Adversarial Networks (GANs), Deepfakes, AI Art, Sentiment Analysis, and Computer Vision applications using Python. The emphasis is on independent projects, team collaboration, and real-world AI applications",T.Raj,1,15,เฉพาะนักเรียนโครงการ EP,,,,,✔,✔,,
ว22254,"CUD-EP ห้องปฏิบัติการทางวิทยาศาสตร์
(ปิดรายวิชา)",1,2,"This laboratory course is designed to help students develop essential laboratory skills through hands-on experiments. They will learn how to properly handle lab equipment such as pipettes, balances, and test tubes, measure substances accurately, prepare solutions, and carry out experiments safely while following laboratory rules.",T.Bakang ,1,15,"เรียนเป็น
ภาษาอังกฤษ",,,,,,,✔,✔
ว22255,"CUD-EP สำรวจท้องฟ้า
เบื้องต้น",1,2,"Study the area of factors affecting amount of solar energy reaching the earth’s surface, the Factors Affecting Solar Radiation at the Earth’s Surface,  reflection ratio (albedo), aerosol cloud and greenhouse gas, circulation of the atmosphere,  El Nino and La Nina phenomenon, the process of earth’s energy balance, causes of climate change, plate tectonics, landform and geological volcanic eruptions, earthquake, tsunami",T.Marko,1,15,"เรียนเป็น
ภาษาอังกฤษ",✔,✔,,,,,,
กลุ่มสาระการการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,
ค22232,คณิตศาสตร์เพิ่มเติม 4,0.5,1,เศษส่วนพหุนาม การบวก การลบ การคูณ และการหารเศษส่วนพหุนาม สมการเศษส่วนพหุนาม โจทย์ปัญหาเศษส่วนพหุนามอย่างง่าย,อ.ดร.กุลนิดา,1,35,"ไม่รับนักเรียนโครงการ EP 

เนื่องจากเนื้อหาคล้ายคลึงกับรายวิชา
พื้นฐาน",,,✔,,,,,
,,,,,อ.ดร.กุลนิดา,2,35,,,,,,,,✔,
,,,,,อ.ดร.กุลนิดา,3,35,,,,,,,,,✔
ค20203,Excel เบื้องต้นสำหรับเยาวรุ่น,1,2,"การใช้งานโปรแกรม Microsoft Excel ระดับขั้นพื้นฐานสำหรับการเรียนในระดับมัธยมศึกษาตอนต้น ฝึกการจัดการข้อมูล
เบื้องต้น การสร้างและการจัดรูปแบบตาราง การกำหนดรูปแบบตัวเลขและข้อความ การคำนวณทางคณิตศาสตร์โดยใช้ฟังก์ชันพื้นฐาน และการนำเสนอข้อมูลด้วยกราฟ",อ.มานพ,1,25,,,,,,,,✔,✔
ค22234,คณิตศาสตร์ขั้นสูงสู่โอลิมปิก 4,1,2,"เพิ่มพูนประสบการณ์การแก้โจทย์ปัญหาทางคณิตศาสตร์
ในด้านทฤษฎีจำนวน พีชคณิต เรขาคณิต และคอมบินาทอริกส์ เพื่อเตรียมตัวสำหรับการแข่งขันคณิตศาสตร์โอลิมปิก",อ.ดร.นที,1,14,"เฉพาะนักเรียนในโครงการ
ที่ผ่าน
การคัดเลือก",,,,,✔,✔,,
กลุ่มสาระการการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,
ท22213,"เล่าเรื่องให้เป็นภาพด้วย
อินโฟกราฟิก",1,2,"ศึกษากระบวนการสร้างอินโฟกราฟิกประเภทต่าง ๆ เพื่อการ
นำเสนอข้อมูลอย่างหลากหลายโดยนำความรู้พื้นฐานทางทักษะภาษาไทยผสมผสานกับการออกเเบบอย่างสร้างสรรค์เพื่อประยุกต์ใช้ในการผลิตผลงานอินโฟกราฟิกผ่านเครื่องมือออนไลน์เเคนวา (Canva)",อ.มณิการ์,1,25,,,,,,✔,✔,,
ท22207,โครงงานภาษาไทย 1,1,2,"ศึกษาความหมายของโครงงาน ประเภทของโครงงาน ลักษณะโครงงานภาษาไทย การพัฒนานวัตกรรมในวิชาภาษาไทย 
การเลือกหัวข้อโครงงานตามความสนใจ การเขียนและนำเสนอโครงงานภาษาไทย โดยใช้กระบวนการเรียนรู้โดยใช้โครงงานเป็นฐาน",อ.ดร.เฉลิมลาภ,1,30,,,,,,,,✔,✔
"กลุ่มสาระการการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,
ส22232,สันติภาพเริ่มต้นด้วยความรัก,1,2,"ศึกษาความหมาย ความสำคัญของสันติภาพ เรียนรู้ความ
แตกต่างในสังคม ความสำคัญของสิทธิมนุษยชน องค์กร
ความร่วมมือเพื่อสันติภาพ แนวทางการแก้ปัญหาอย่างสันติวิธี 
เพื่ออยู่ร่วมกันอย่างสันติในสังคมโลก",อ.อภิรดี,1,35,,,,,,✔,✔,,
ส22234,ไขความลับประวัติศาสตร์,1,2,"ศึกษาเกี่ยวกับหลักฐานทางประวัติศาสตร์ชั้นต้น ประกอบด้วยชนิดของหลักฐาน ได้แก่ หลักฐานประเภทลายลักษณ์อักษร 
ซึ่งประกอบไปด้วยวรรณกรรม และเอกสารทางการหลักฐานประเภทตกทอดมาจากอดีตอันได้แก่ ประเพณี บทเพลง หรือขนบธรรมเนียม และหลักฐานประเภททัศนวัตถุจับต้องเห็นได้",อ.พิสิษฐ,1,35,,,,✔,✔,,,,
ส22236,เยาวชนพลเมืองสร้างสรรค์,1,2,ศึกษาความสำคัญของเยาวชนในฐานะของพลเมืองของสังคมไทยและสังคมโลก การใช้สิทธิ เสรีภาพ และหน้าที่ในการพัฒนาและขับเคลื่อนสังคม หลักการสิทธิมนุษยชน หลักการพัฒนาที่ยั่งยืน ตลอดจนประเด็นปัญหาของสังคมไทยและสังคมโลกในยุคร่วมสมัย,อ.วิทวัส,1,35,,,,,,✔,✔,,
กลุ่มสาระการการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,
ง22268,พฤกษาพาสนุก,1,2,"ศึกษาหน้าที่ องค์ประกอบ และการใช้ประโยชน์จากพืช
ในหลากหลายมิติ ผ่านกิจกรรมและการทดลองรูปแบบต่างๆ 
ที่นักเรียนสามารถเรียนรู้ได้ด้วยตนเอง ปฏิบัติการทางพฤกษศาสตร์เบื้องต้นและการทำตัวอย่างพรรณไม้แห้ง",อ.โมริสา,1,25,,,,,,,,✔,✔
ง20274,รู้ช่างไว้ใช้งานได้,1,2,"ศึกษากระบวนการทำงานและทักษะปฏิบัติ ผ่านกระบวนการการคิดเชิงออกแบบ การคิดสร้างสรรค์ การคิดเชิงวิศวกรรม
นำไปสู่การสร้างสรรต์ผลงานที่จะนำไปสู่อาชีพในอนาคต นักเรียนจะได้เรียนรู้การใช้เครื่องมือช่างทั้งที่เป็น Hand tools และ Electric tools เพื่อใช้ในการสร้างชิ้นงานอาทิ งานไม้ 
งานประปา งานปูน เป็นต้น",ผศ.ดร.นาถวดี,1,20,,✔,✔,,,,,,
กลุ่มสาระการการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,
ศ22203,ปฏิบัติดนตรีไทย 2,1,2,"ศึกษาหลักการปฏิบัติเครื่องดนตรีไทยขั้นพื้นฐาน เรียนรู้และ
ฝึกปฏิบัติเครื่องดนตรี ในบทเพลงที่มี อัตราจังหวะสองชั้น
การบรรเลงรายบุคคลและการบรรเลงรวมวงศึกษาประวัติ
ความเป็นมาของเพลง ศึกษาประเภทและลักษณะของเพลงผ่านการปฏิบัติรวมถึงได้เรียนรู้เกี่ยวกับการอภิปราย แสดงความคิดเห็นความรู้สึกของตนเองที่มีต่อผลงานการบรรเลง
เพื่อให้นักเรียนสามารถแสดงออกทางดนตรีอย่างสร้างสรรค์ ",อ.สโรชา,1,20,,,,✔,✔,,,,
ศ20216,ท่องโลกแฟชั่น,1,2,"ศึกษาความรู้เรื่องเกี่ยวกับแฟชั่น ได้แก่ การแต่งกายแบบต่าง ๆ  การสร้างงานแฟชั่นในภาพยนตร์  การสร้างความสำเร็จของ
ดีไซเนอร์ชื่อดังระดับประเทศและระดับโลก การสร้างโลโก้กับการทำธุรกิจแฟชั่น การอนุรักษ์ผ้าไทย การสร้างสรรค์งานแฟชั่นโดยด้วยแรงบันดาลใจจากสิ่งรอบตัว การแต่งหน้าสำหรับงานแฟชั่นโชว์  และ Fast Fashion",อ.จุติมาพร,1,20,,,,,,✔,✔,,
