รายวิชาเพิ่มเติม ม.3  2/2568,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พฤหัสบดี,,ศุกร์,
,,,,,,,,,5,6,7,8,5,6,1,2
"กลุ่มสาระการการเรียนรู้วิทยาศาสตร์
และเทคโนโลยี",,,,,,,,,,,,,,,,
ว20231,ฟิสิกส์และคณิตศาสตร์สำหรับดาราศาสตร์โอลิมปิก2,1,2,"ศึกษาคณิตศาสตร์และฟิสิกส์ที่เป็นพื้นฐานสำคัญสำหรับ
การเข้ารับการอบรมค่ายโอลิมปิกดาราศาสตร์ เช่น ฟังก์ชัน แคลคูลัส ตรีโกณมิติ กลศาสตร์ กฏของแก๊ส ฟิสิกส์ของการแผ่รังสี และนำไปประยุกต์ใช้ในการแก้โจทย์ปัญหาทางดาราศาสตร์ในการแข่งขันระดับชาติและระดับนานาชาติ เหมาะสำหรับนักเรียนที่เคยผ่านการเข้ารับการอบรมดาราศาสตร์โอลิมปิก สอวน. ระดับ ม.ต้น มาแล้ว",อ.วิทยา,1,10,"เฉพาะนักเรียนในโครงการ
ที่ผ่าน
การคัดเลือก",,,,,✔,✔,,
ว20237,สมองกลฝังตัว,1,2,“ระบบฝังตัว” หรือ “สมองกลฝังตัว” (Embedded system) เป็น เทคโนโลยี ที่มีมานานอยู่รอบตัวเราอาจจะฝังตัวอยู่ในอุปกรณ์หรือสิ่งอํานวยความสะดวกต่างๆ ระบบเปิดปิดไฟ ระบบรดนํ้าต้นไม้และอื่นๆอีกมากมาย เป็นการเรียนรู้หลักการทํางานของระบบสมองกลฝังตัว การต่อ วงจรไฟฟ้าและอิเล็กทรอนิกส์เบื้องต้น พื้นฐานการโปรแกรมเบื้องต้น และเสริมความรู้เกี่ยวกับเทคโนโลยี IoT (Internet of Things) เบื้องต้น,อ.วิทยานนท์,1,25,,,,✔,✔,,,,
ว20270,การออกแบบและผลิตโมเดลสามมิติ,1,2,เรียนรู้พื้นฐานโมเดลสามมิติแบบต่าง ๆ วิธีการผลิตจากโมเดลสามมิติ ข้อดีข้อเสียของโปรแกรมสามมิติต่าง ๆ การติดตั้งและใช้งานโปรแกรม Autodesk Fusion 360 เทคนิคการออกแบบเพื่อการพิมพ์สามมิติ และการขึ้นรูปโดย CNC machine,อ.สมโรจน์,1,17,,✔,✔,,,,,,
ว20240,ใคร ๆ ก็เขียนโคดได้ 2,1,2,ฝึกฝนทักษะด้านการพัฒนาแอปพลิเคชัน iOS ขั้นพื้นฐานด้วย Swift ผ่านการฝึกฝนแนวคิดสําคัญและหลักปฏิบัติ ที่นักเขียนโปรแกรมภาษา Swift ใช้ในแต่ละวันจนเชี่ยวชาญ รวมทั้งสร้างความชํานาญพื้นฐานใน Source ของการใช้งาน โปรแกรม Xcode ควบคู่กับการใช้งาน UI Element ต่าง ๆ โดยเนื้อหาอ้างอิงจากหนังสือ พัฒนาใน Swift เล่มความรู้พื้นฐาน,"อ.ศุภชัย / 
อ.ธนวัฒน์",1,8,นักเรียนต้องเคยลงทะเบียนเรียนรายวิชา ใคร ๆ ก็เขียนโคดได้ 1,,,,,✔,✔,,
ว23250,"CUD-EP การออกแบบ
เชิงวิศวกรรมเบื้องต้น",1,2,"Engineering Design is a hands-on, project-based STEM course that introduces students to the world of engineering through engaging real-world challenges. Centered around the Engineering Design Process and aligned with the TeachEngineering.org curriculum, the course emphasizes creative problem-solving, teamwork, and critical thinking.",T.Marko,1,20,"เรียนเป็น
ภาษาอังกฤษ",✔,✔,,,,,,
ว2xxxx,"CUD-EP ห้องปฏิบัติการทางวิทยาศาสตร์
(รายวิชาเปิดใหม่)",1,2,"This laboratory course is designed to help students develop essential laboratory skills through hands-on experiments. They will learn how to properly handle lab equipment such as pipettes, balances, and test tubes, measure substances accurately, prepare solutions, and carry out experiments safely while following laboratory rules.",T.Bakang ,1,15,"เรียนเป็น
ภาษาอังกฤษ",,,✔,✔,,,,
กลุ่มสาระการการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,
ค23232,คณิตศาสตร์เพิ่มเติม 6,0.5,1,"การแก้ระบบสมการ ได้แก่ ระบบสมการที่ประกอบด้วยสมการเชิงเส้นและสมการดีกรีสอง และระบบสมการที่ประกอบด้วยสมการดีกรีสองทั้งสองสมการ การแก้โจทย์ปัญหาเกี่ยวกับ
การเคลื่อนที่ของวัตถุในสถานการณ์ต่าง ๆ",อ.มานพ,1,35,"ไม่รับนักเรียนโครงการ EP 

เนื่องจากเนื้อหาคล้ายคลึงกับรายวิชา
พื้นฐาน",,,✔,,,,,
,,,,,อ.อภิสรา,2,35,,,,,✔,,,,
,,,,,อ.มานพ,3,35,,,,,,✔,,,
ค23234,คณิตศาสตร์ขั้นสูงสู่โอลิมปิก 6,1,2,ฝึกการเขียนพิสูจน์ทางคณิตศาสตร์ในด้านทฤษฎีจำนวน พีชคณิต เรขาคณิต และคอมบินาทอริกส์  เพื่อเตรียมตัวสำหรับการแข่งขันคณิตศาสตร์โอลิมปิกและการทำวิจัยคณิตศาสตร์,อ.ดร.นที,1,14,"เฉพาะนักเรียนในโครงการ
ที่ผ่าน
การคัดเลือก",,,,,✔,✔,,
ค20202,การเรียนรู้เชิงกลยุทธ์ผ่านบอร์ดเกม,1,2,"พัฒนาทักษะการคิดเชิงกลยุทธ์ การแก้ปัญหาเชิงสร้างสรรค์ และการตัดสินใจผ่านการเล่นบอร์ดเกมประเภทต่าง ๆ 
โดยใช้แนวคิดทางคณิตศาสตร์ เศรษฐศาสตร์ จิตวิทยา 
ในการวิเคราะห์เกมเพื่อวางแผนระยะยาว","อ.ดร.ธาดาพนิตสดี
/ อ.มารุต",1,20,,,,✔,✔,,,,
กลุ่มสาระการการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,
ท23215,นามนั้นสำคัญไฉน ,1,2,วิชาที่มุ่งเน้นการศึกษาที่มาของชื่อ โดยนักเรียนจะได้เรียนรู้ที่มาของชื่อต่าง ๆ ผ่านกระบวนการอ่านและการทัศนศึกษา เพื่อสืบค้นข้อมูลจากสถานที่จริงและสัมภาษณ์เพื่อเก็บข้อมูลจากผู้เชี่ยวชาญที่มีส่วนเกี่ยวข้องกับชื่อนั้น จนนำไปสู่การเขียนสื่อสารอย่างสร้างสรรค์,อ.นาทพงศ์,1,10,,,,,,,,✔,✔
"กลุ่มสาระการการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,
